Title,Release Year,Genres,Runtime,Rating,Age Rating
1. The Shawshank Redemption,1994,Drama,2h 22m,9.3,R
2. The Godfather,1972,"Crime, Drama",2h 55m,9.2,R
3. The Dark Knight,2008,"Action, Crime, Drama",2h 32m,9.1,PG-13
4. The Godfather Part II,1974,"Crime, Drama",3h 22m,9,R
5. 12 Angry Men,1957,"Crime, Drama",1h 36m,9,Approved
6. The Lord of the Rings: The Return of the King,2003,"Adventure, Drama, Fantasy",3h 21m,9,PG-13
7. Schindler's List,1993,"Biography, Drama, History",3h 15m,9,R
8. Pulp Fiction,1994,"Crime, Drama",2h 34m,8.8,R
9. The Lord of the Rings: The Fellowship of the Ring,2001,"Adventure, Drama, Fantasy",2h 58m,8.9,PG-13
"10. The Good, the Bad and the Ugly",1966,"Adventure, Drama, Western",2h 58m,8.8,R
11. Forrest Gump,1994,"Drama, Romance",2h 22m,8.8,PG-13
12. The Lord of the Rings: The Two Towers,2002,"Adventure, Drama, Fantasy",2h 59m,8.8,PG-13
13. Fight Club,1999,"Crime, Drama, Thriller",2h 19m,8.8,R
14. Inception,2010,"Action, Adventure, Sci-Fi",2h 28m,8.8,PG-13
15. Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy",2h 4m,8.7,PG
16. The Matrix,1999,"Action, Sci-Fi",2h 16m,8.7,R
17. Goodfellas,1990,"Biography, Crime, Drama",2h 25m,8.7,R
18. Interstellar,2014,"Adventure, Drama, Sci-Fi",2h 49m,8.7,PG-13
19. One Flew Over the Cuckoo's Nest,1975,Drama,2h 13m,8.7,R
20. Se7en,1995,"Crime, Drama, Mystery",2h 7m,8.6,R
21. It's a Wonderful Life,1946,"Drama, Family, Fantasy",2h 10m,8.6,PG
22. The Silence of the Lambs,1991,"Crime, Drama, Horror",1h 58m,8.6,R
23. Seven Samurai,1954,"Action, Drama",3h 27m,8.6,Not Rated
24. Saving Private Ryan,1998,"Drama, War",2h 49m,8.6,R
25. The Green Mile,1999,"Crime, Drama, Fantasy",3h 9m,8.6,R
